"","max_distance","id","mean","sd","error","ci_width","below_95","above_95","convergence","plot"
"25",1032.25243989881,25,799.466237124073,136.710442654606,53.5895087827112,107.179017565422,745.876728341362,853.055745906784,FALSE,"B"
"26",843.208360454535,26,801.148626482937,134.222749965909,51.5926160191814,103.185232038363,749.556010463755,852.741242502118,FALSE,"B"
"27",1001.96851168668,27,808.586400009001,137.173197465809,51.7410777833077,103.482155566615,756.845322225694,860.327477792309,FALSE,"B"
"28",859.640451728581,28,810.409758998986,134.954322177796,49.9868619398065,99.9737238796131,760.42289705918,860.396620938793,FALSE,"B"
"29",688.814974506688,29,806.216835395804,134.432340786898,48.9274805388802,97.8549610777603,757.289354856923,855.144315934684,FALSE,"B"
"30",892.101129780808,30,809.079645208637,133.021616159611,47.6002993241135,95.2005986482269,761.479345884524,856.679944532751,FALSE,"B"
"31",760.198761579798,31,807.502842510933,131.080131456665,46.1428178352816,92.2856356705632,761.360024675651,853.645660346214,FALSE,"B"
"32",845.432808257199,32,808.688153940503,129.122815924505,44.7379511001429,89.4759022002858,763.95020284036,853.426105040646,FALSE,"B"
"33",812.106799762989,33,808.791749268458,127.090651990028,43.3615430797476,86.7230861594953,765.43020618871,852.153292348205,FALSE,"B"
"34",801.470552217133,34,808.576419943419,125.156520889917,42.0689928159802,84.1379856319603,766.507427127438,850.645412759399,FALSE,"B"
"35",961.798553695293,35,812.954195193472,125.992921837654,41.7407469409399,83.4814938818799,771.213448252532,854.694942134412,FALSE,"B"
"36",688.814974506688,36,809.505883507728,125.891771136481,41.1238895629102,82.2477791258204,768.381993944818,850.629773070638,FALSE,"B"
"37",860.883912740736,37,810.894478892404,124.417999545149,40.0894818632773,80.1789637265546,770.804997029127,850.983960755681,FALSE,"B"
"38",905.713681461043,38,813.389721065263,123.685332466523,39.325521766301,78.6510435326021,774.064199298962,852.715242831564,FALSE,"B"
"39",644.913411235078,39,809.069815685002,124.993130290052,39.2285207691424,78.4570415382848,769.841294915859,848.298336454144,FALSE,"B"
"40",757.203783092142,40,807.77316487018,123.652487896039,38.3195988650325,76.639197730065,769.453566005148,846.092763735213,FALSE,"B"
"41",983.965930216023,41,812.070549390811,125.159327983384,38.3106380698649,76.6212761397298,773.759911320946,850.381187460676,FALSE,"B"
"42",788.695393462598,42,811.513998059187,123.676178640777,37.4032640961884,74.8065281923767,774.110733962998,848.917262155375,FALSE,"B"
"43",886.393048805779,43,813.255371332363,122.727355932302,36.6821887317264,73.3643774634529,776.573182600637,849.93756006409,FALSE,"B"
"44",861.406838877274,44,814.349722867475,121.508927105093,35.9029338529074,71.8058677058148,778.446789014567,850.252656720382,FALSE,"B"
"45",847.342797687227,45,815.082902307914,120.220856030763,35.1254300527919,70.2508601055838,779.957472255122,850.208332360706,FALSE,"B"
"46",907.083136746191,46,817.082907404398,119.64897065897,34.5762700815702,69.1525401631404,782.506637322828,851.659177485968,FALSE,"B"
"47",955.906824498146,47,820.036607768095,120.061258258444,34.3243287244004,68.6486574488007,785.712279043694,854.360936492495,FALSE,"B"
"48",821.858231076473,48,820.074558253686,118.777434723083,33.6017126657012,67.2034253314025,786.472845587985,853.676270919387,FALSE,"B"
"49",798.68305513293,49,819.637996965507,117.573378743096,32.9199411253078,65.8398822506156,786.718055840199,852.557938090815,FALSE,"B"
